Machine_Id,Date,Process_Errors,Sensor_5,Sensor_8,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Equipment_Failure,Age_of_Equipment
M0001,2025-01-01 00:00:00,0,49.38207067248259,63.51891436589111,123.14002113169491,111.45286356924305,66.11046542257907,84.1040840821289,93.79412222713431,non-failure,4428
M0001,2025-01-01 00:05:00,0,53.963821802409576,69.2724757584456,83.6320307375349,115.05068048866869,51.99433906588334,85.50429812922344,136.90053393960952,non-failure,214
M0001,2025-01-01 00:10:00,0,49.401804350161434,77.54099503116491,128.9014586960451,140.3302963986111,72.61295985755575,83.81922165795592,71.99342824603552,non-failure,4367
M0001,2025-01-01 00:15:00,0,39.83918567167258,65.97315182186472,93.86632735298936,83.29557923986276,89.9245213064499,66.78895669152193,111.42704504087828,non-failure,1151
M0001,2025-01-01 00:20:00,7,100.74527525717708,105.77762048374191,230.77657256935765,149.52061980733538,152.9705179125413,139.21647962453739,163.57435024423546,failure,518
M0001,2025-01-01 00:25:00,4,110.16013731901626,107.57571668103014,171.53414652178103,169.4325457555072,140.14191214210342,194.50800872135653,168.2652507585215,failure,588
M0001,2025-01-01 00:30:00,0,54.00939417884701,41.98633680135665,121.06106960113321,134.6626196229696,90.28763305919418,91.43794803006365,100.91504045861399,non-failure,3774
M0001,2025-01-01 00:35:00,0,51.70261808149167,72.04147027502262,92.66545514315133,120.8403897148632,69.52260600222127,104.99922901513087,116.93593285904676,non-failure,4010
M0001,2025-01-01 00:40:00,0,58.159397934960886,52.154745495938016,145.39572994124816,109.86235432547497,79.00387465835755,96.09222405237803,119.99052879033297,non-failure,1725
M0001,2025-01-01 00:45:00,3,101.70482389140437,122.77402351373756,185.00530263840642,176.70793035485613,109.06255310447378,157.10893292279522,159.4507046351499,failure,1829
M0001,2025-01-01 00:50:00,1,61.392512433271875,55.67131914741103,146.751483398513,126.85472639479195,63.328605679337784,94.24878593205324,133.9320278590684,non-failure,4173
M0001,2025-01-01 00:55:00,0,41.4951179211559,61.61707840902298,124.56399066415814,95.79091674385589,62.19443248123838,82.37884807156496,102.98786940533373,non-failure,1296
